,name,city,state,n_students,type,acceptance_difficulty,freshman_satisfaction,grad_rate,resident_cost,nonresident_cost,need_met,merit_aid,avg_grad_debt,gender_mix,pct_american_indian,pct_african_american,pct_asian_pacific_islander,pct_hispanic,pct_international
1825,Vaughn College of Aeronautics and Technology,Flushing,NY,1538.0,Priv,Mod,0.784,0.233,47308.0,47308.0,0.66,0.36,37709.0,Not Reported,0.003,0.188,0.127,0.36,0.055
1826,Vermont Technical College,Randolph Center,VT,1610.0,Pub,Mod,0.71,0.337,29441.0,42473.0,0.49,0.4,24480.0,Coed,0.003,0.015,0.009000000000000001,0.02,0.019
1827,Villa Maria College,Buffalo,NY,596.0,Priv,Mod,0.61,0.325,,,,,22658.0,Coed,0.005,0.33299999999999996,0.015,0.061,0.003
1828,Villanova University,Villanova,PA,6966.0,Priv,Very,0.9470000000000001,0.873,70728.0,70728.0,0.83,0.08,35552.0,Coed,0.001,0.051,0.066,0.078,0.02
1829,Virginia Baptist College,Fredericksburg,VA,,Priv,Not Reported,,,,,,,,Coed,,,,,
1830,Virginia Commonwealth University,Richmond,VA,24058.0,Pub,Mod,0.847,0.44799999999999995,29522.0,50170.0,0.57,0.12,32617.0,Coed,0.002,0.2,0.141,0.10300000000000001,0.028999999999999998
1831,Virginia Military Institute,Lexington,VA,1722.0,Pub,Mod,0.872,0.633,32094.0,58938.0,0.8,0.36,31893.0,Coed,0.005,0.061,0.045,0.07200000000000001,0.016
1832,Virginia Polytechnic Institute and State University,Blacksburg,VA,27811.0,Pub,Mod,,0.635,27590.0,48225.0,0.55,0.34,31494.0,Coed,0.001,0.045,0.107,0.069,0.066
1833,Virginia State University,Petersburg,VA,4165.0,Pub,Min,0.74,0.24600000000000002,23673.0,34675.0,0.67,0.46,28250.0,Coed,0.003,0.61,0.005,0.013999999999999999,0.002
1834,Virginia Union University,Richmond,VA,1509.0,Priv,Mod,0.6,0.179,26396.0,26396.0,0.48,0.07,34216.0,Coed,0.006999999999999999,0.9259999999999999,0.003,0.009000000000000001,0.004
1835,Virginia University of Lynchburg,Lynchburg,VA,233.0,Priv,Non,1.0,0.14300000000000002,18425.0,18425.0,1.0,,9500.0,Coed,,,,,
1836,Virginia Wesleyan College,Virginia Beach,VA,1436.0,Priv,Mod,0.633,0.457,52036.0,52036.0,0.65,0.23,32404.0,Coed,0.01,0.266,0.016,0.08800000000000001,0.031
1837,Visible Music College,Memphis,TN,,Priv,Not Reported,,,,,,,,Coed,,,,,
1838,Viterbo University,La Crosse,WI,1875.0,Priv,Mod,0.8,0.307,38945.0,38945.0,,,,Coed,0.002,0.017,0.009000000000000001,0.028999999999999998,0.023
1839,Voorhees College,Denmark,SC,468.0,Priv,Mod,,0.185,,,0.52,0.25,13383.0,Coed,,,,,
1840,Wabash College,Crawfordsville,IN,882.0,Priv,Mod,0.857,0.659,58770.0,58770.0,0.97,0.32,35726.0,Men,0.0,0.06,0.01,0.094,0.057
1841,Wagner College,Staten Island,NY,1812.0,Priv,Mod,0.85,0.634,62131.0,62131.0,0.76,0.16,,Coed,0.001,0.083,0.046,0.122,0.042
1842,Wake Forest University,Winston-Salem,NC,5102.0,Priv,Very,0.943,0.8440000000000001,68900.0,68900.0,1.0,0.27,36863.0,Coed,0.002,0.075,0.045,0.076,0.09699999999999999
1843,Waldorf College,Forest City,IA,2126.0,Priv,Mod,0.46,,34095.0,34095.0,0.72,0.24,33494.0,Coed,0.008,0.125,0.022000000000000002,0.08800000000000001,0.01
1844,Walla Walla University,College Place,WA,1700.0,Priv,Mod,,0.215,41085.0,41085.0,0.98,0.99,32181.0,Coed,0.006,0.035,0.07,0.157,0.03
1845,Walsh College,Troy,MI,893.0,Priv,Non,,,,,,,,Coed,0.0,0.049,0.051,0.023,0.018000000000000002
1846,Walsh University,North Canton,OH,2009.0,Priv,Mod,0.74,0.447,40660.0,40660.0,0.69,1.0,24753.0,Coed,0.002,0.068,0.006999999999999999,0.040999999999999995,0.035
1847,Warner Pacific College,Portland,OR,400.0,Priv,Mod,0.622,0.3,32190.0,32190.0,0.65,0.73,26540.0,Coed,0.013000000000000001,0.095,0.065,0.342,0.005
1848,Warner University,Lake Wales,FL,921.0,Priv,Min,0.57,0.25,,,,,22618.0,Coed,,,,,
1849,Warren Wilson College,Asheville,NC,753.0,Priv,Mod,0.632,0.44,52504.0,52504.0,0.9,0.36,25740.0,Coed,0.008,0.044000000000000004,0.011000000000000001,0.087,0.021
1850,Wartburg College,Waverly,IA,1498.0,Priv,Mod,0.79,0.625,55610.0,55610.0,0.81,0.31,39559.0,Coed,0.001,0.044000000000000004,0.016,0.051,0.075
1851,Washburn University,Topeka,KS,5793.0,Pub,Non,0.68,0.156,18014.0,29084.0,0.38,0.58,23552.0,Coed,0.005,0.052000000000000005,0.012,0.07400000000000001,0.043
1852,Washington & Jefferson College,Washington,PA,1356.0,Priv,Very,0.8140000000000001,0.6970000000000001,64082.0,64082.0,0.89,0.21,45306.0,Coed,0.002,0.054000000000000006,0.022000000000000002,0.053,0.028999999999999998
